id;nombre;numero_serie;marca;modelo;descripcion;peso
1;Algodón Madera enhance;Juguetería Torrente;synthesize hack Calleja;Borders;generate;50276
2;Gerente;Corporativo functionalities;Rua synthesize;Dinánmico Apartamento;Zapatos Hormigon;55302
3;Azul Pantalones;focus conjunto Videojuegos;Fácil;Directo SQL Fácil;digital Patatas;6617
4;alarm XSS Monitorizado;Salud Cataluña;Librería Heredado next-generation;Ejecutivo Uruguay discreta;Cuentas Lugar Acero;7359
5;XSS;invoice;hard;overriding;Algodón bypass;63814
6;compressing;out-of-the-box Librería;Pantalones Arquitecto platforms;Forint Lek Account;networks;8387
7;Métricas Verde;cross-platform;Diseñador Asimilado deposit;Canarias TCP Euro;Buckinghamshire;92641
8;program Azerbayán;bypassing;Funcionario Integración;Pula;Oro;23003
9;Producto focus Granito;input multitarea Amigable;y copying distributed;Robusto PNG Ladrillo;Canarias;39127
10;Mercados;expedite Som;Nicaragua Videojuegos Bedfordshire;Especialista dynamic Coordinador;Conjunto;91650
