id;direccion_entrega;fecha_pedido;fecha_entrega;descuento;tipo_pago;precio_total;observaciones;entregado;enviado
1;transmitter Madera;2022-01-31;2022-01-31;41856;Papelería Salvador copying;83795;cross-media Borders transmitter;false;true
2;Cuentas;2022-02-01;2022-01-31;67060;extranet;34951;Mozambique;true;true
3;open-source y Suiza;2022-01-31;2022-01-31;61109;Administrador Loan;812;AI;true;false
4;Metal Cuesta Cuesta;2022-01-31;2022-02-01;57062;Argentine Baleares;98182;Savings;true;false
5;payment synergize;2022-02-01;2022-01-31;81917;Gerente Account Salida;37997;Sri Moda;true;true
6;Tonga;2022-01-31;2022-02-01;24974;portals;43111;Global;false;false
7;Hecho systems Funcionario;2022-02-01;2022-01-31;29188;invoice Investment Canarias;89127;Berkshire payment;true;false
8;Integración Aragón synergistic;2022-01-31;2022-01-31;75560;neural Buckinghamshire Gris;71617;copying;false;false
9;Cataluña;2022-02-01;2022-01-31;25764;Burundi Credit;31668;Algodón;true;true
10;cross-platform;2022-02-01;2022-01-31;29084;Bedfordshire;41860;Región León;false;false
