id;telefono;pais;provincia;sucursal;codigo_postal;calle;albaran;stock_productos
1;Ergonómico relationships;basado Castilla-La Heredado;e-enable reboot;applications;Persistente enterprise;Explanada;e-commerce aplicación Escalinata;12074
2;primary Account;Buckinghamshire;Intercambiable Avon;Pelota Consultor;Tanzania Genérico Pequeño;virtual;Guantes Granito;80899
3;Travesía B2C Artesanal;index out-of-the-box;Terrenos;Hormigon relationships transmit;Verde Bedfordshire;circuit Humano;Albania infomediaries;59490
4;architect end-to-end Director;CSS Metal deposit;Corporativo;Integrado División port;SQL;bypass viral configurable;Vasco;31908
5;Barbados;bypass Interno;Soluciones Negro virtual;Funcionario estatica;Intercambiable infomediaries;conjunto Rojo Checking;Dollar Navarra;79588
6;Datos;Operaciones;Jefe Azul potenciada;Calidad Vanuatu;killer;system deposit;Multi interfaces;26659
7;Blanco;Rústico móbil;B2B;program Metal;Digitalizado Nacional Región;Intranet;Negro Fundamental;78721
8;SQL payment;visualize hard;Lugar generate;primary Pelota;Silla;transmit synergize withdrawal;circuit Informática Joyería;20634
9;Andalucía;primary;Niger Algodón Moda;firewall AI bypass;Funcionario dot-com;Juguetería;Avon Account Berkshire;54059
10;Artesanal Estonia Cambridgeshire;Galicia;e-enable Madera;Puente Moda;Guantes;Public-key;aplicación Morado;82966
