id;nombre;numero_serie;marca;modelo;descripcion;peso;fecha_venta;precio_compra;precio_bruto;precio_iva;vendido
1;actitud;Dinánmico;complejidad Buckinghamshire Morado;online;GB Rústico SDD;19378;2022-01-31;19082;34838;33378;true
2;reboot Liberian;Genérico Solar;virtual Juguetería back-end;Guadalupe;Berkshire;76382;2022-01-31;84731;72373;20559;false
3;Profundo didactica Costa;Innovador objetos invoice;Extrarradio;innovative Seguro;Inversor metódica;36079;2022-01-31;93351;20796;31739;true
4;discreta auxiliary;quantifying state Sabroso;circuit Cine;copying;Gorro optimize Rupee;59236;2022-01-31;96268;29591;91489;true
5;y Amarillo plug-and-play;Madera;previsión Personal;red withdrawal;matrix;720;2022-01-31;72993;56873;42494;true
6;generating;Coche Masía data-warehouse;Violeta;Gestionado Ensalada;Atún;87090;2022-02-01;58117;3805;50159;true
7;Multi;Canarias 1080p withdrawal;a compress;multiestado;Ladrillo Algodón navigate;30106;2022-01-31;47139;4666;32526;true
8;Coche Interno ejecutiva;añadido Madera;cohesiva Convertible Dalasi;Verde;enhance;53678;2022-02-01;41428;65909;18346;false
9;Loan;extranet Informática;Electrónica Joyería circuit;copying complejidad;Loan facilitate;84511;2022-01-31;88937;24580;34457;false
10;Mobilidad AI generating;del Mobilidad Cantabria;Nauru;Cantabria Negro bus;Central Cambridgeshire Guapa;93523;2022-02-01;19580;9074;26598;true
